カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
JS	db/demo_data_comprehensive.sql:511	0, '会議室B', 3, 'public', 'high', 'scheduled'),	js.demo_data_comprehensive.l511	P3
JS	db/demo_data_comprehensive.sql:512	(18, 'ABC商事 契約交渉',	js.demo_data_comprehensive.l512	P3
JS	db/demo_data_comprehensive.sql:513	'契約条件の詰めの打合せ',	js.demo_data_comprehensive.l513	P3
JS	db/demo_data_comprehensive.sql:515	0, 'ABC商事 本社', 2, 'public', 'high', 'scheduled'),	js.demo_data_comprehensive.l515	P3
JS	db/demo_data_comprehensive.sql:516	(19, '情報セキュリティ研修',	js.demo_data_comprehensive.l516	P3
バリデーション	db/demo_data_comprehensive.sql:517	'全社員必須の情報セキュリティ研修',	validation.demo_data_comprehensive.l517	P1
JS	db/demo_data_comprehensive.sql:519	0, '会議室A', 1, 'public', 'high', 'scheduled');	js.demo_data_comprehensive.l519	P3
JS	db/demo_data_comprehensive.sql:541	(6, 1, 2, '週次営業ミーティング',	js.demo_data_comprehensive.l541	P3
JS	db/demo_data_comprehensive.sql:544	(7, 2, 3, 'プロジェクトAlpha 定例会',	js.demo_data_comprehensive.l544	P3
JS	db/demo_data_comprehensive.sql:547	(8, 1, 1, '入社式',	js.demo_data_comprehensive.l547	P3
JS	db/demo_data_comprehensive.sql:549	'机をスクール形式にレイアウト変更', NOW(), NOW()),	js.demo_data_comprehensive.l549	P3
JS	db/demo_data_comprehensive.sql:550	(9, 1, 4, 'ビジネスマナー研修',	js.demo_data_comprehensive.l550	P3
JS	db/demo_data_comprehensive.sql:552	'プロジェクター・マイク使用', NOW(), NOW()),	js.demo_data_comprehensive.l552	P3
JS	db/demo_data_comprehensive.sql:553	(10, 1, 2, '週次営業ミーティング',	js.demo_data_comprehensive.l553	P3
JS	db/demo_data_comprehensive.sql:556	(11, 2, 3, 'プロジェクトAlpha 定例会',	js.demo_data_comprehensive.l556	P3
JS	db/demo_data_comprehensive.sql:559	(12, 1, 1, '情報セキュリティ研修',	js.demo_data_comprehensive.l559	P3
JS	db/demo_data_comprehensive.sql:561	'オンライン同時配信のためカメラ・マイク準備', NOW(), NOW());	js.demo_data_comprehensive.l561	P3
スケジュール	views/schedule/day.php:3	$pageTitle = 'スケジュール（日表示）';	schedule.day.l3	P1
スケジュール	views/schedule/day.php:4	$formattedDate = date('Y年n月j日', strtotime($date));	schedule.day.l4	P1
スケジュール	views/schedule/day.php:5	$dayOfWeek = ['日', '月', '火', '水', '木', '金', '土'][date('w', strtotime($date))];	schedule.day.l5	P1
日報	views/daily_report/index.php:6	<h3 class="mb-0">日報ダッシュボード</h3>	daily_report.index.l6	P2
日報	views/daily_report/index.php:9	<i class="fas fa-plus me-2"></i>新規作成	daily_report.index.l9	P2
日報	views/daily_report/index.php:12	<i class="fas fa-file-alt me-2"></i>テンプレートから作成	daily_report.index.l12	P2
日報	views/daily_report/index.php:15	<i class="fas fa-list me-2"></i>一覧表示	daily_report.index.l15	P2
日報	views/daily_report/index.php:18	<i class="fas fa-calendar-week me-2"></i>週間	daily_report.index.l18	P2
日報	views/daily_report/index.php:21	<i class="fas fa-calendar-alt me-2"></i>月間	daily_report.index.l21	P2
日報	views/daily_report/index.php:24	<i class="fas fa-stream me-2"></i>タイムライン	daily_report.index.l24	P2
日報	views/daily_report/index.php:27	<i class="fas fa-chart-line me-2"></i>分析	daily_report.index.l27	P2
日報	views/daily_report/index.php:37	<h5 class="mb-0">本日の日報</h5>	daily_report.index.l37	P2
日報	views/daily_report/index.php:56	<a href="<?= BASE_PATH ?>/daily-report/view/<?= $today_report['id'] ?>" class="btn btn-sm btn-primary">詳細</a>	daily_report.index.l56	P2
日報	views/daily_report/index.php:59	<p class="text-center my-4">本日の日報はまだ作成されていません。</p>	daily_report.index.l59	P2
日報	views/daily_report/index.php:62	<i class="fas fa-plus me-2"></i>作成する	daily_report.index.l62	P2
日報	views/daily_report/index.php:76	<h5 class="mb-0">最近の日報</h5>	daily_report.index.l76	P2
日付/カレンダー	views/daily_report/index.php:83	<th>日付</th>	date_calendar.index.l83	P1
日報	views/daily_report/index.php:84	<th>タイトル</th>	daily_report.index.l84	P2
日報	views/daily_report/index.php:85	<th>作成日時</th>	daily_report.index.l85	P2
日報	views/daily_report/index.php:86	<th>操作</th>	daily_report.index.l86	P2
日報	views/daily_report/index.php:92	<td colspan="4" class="text-center">日報がありません</td>	daily_report.index.l92	P2
日報	views/daily_report/index.php:101	<a href="<?= BASE_PATH ?>/daily-report/view/<?= $report['id'] ?>" class="btn btn-sm btn-primary">詳細</a>	daily_report.index.l101	P2
日報	views/daily_report/index.php:102	<a href="<?= BASE_PATH ?>/daily-report/edit/<?= $report['id'] ?>" class="btn btn-sm btn-secondary">編集</a>	daily_report.index.l102	P2
日報	views/daily_report/index.php:112	<a href="<?= BASE_PATH ?>/daily-report/list" class="btn btn-sm btn-secondary">すべての日報を見る</a>	daily_report.index.l112	P2
日報	views/daily_report/index.php:121	<h5 class="mb-0">日報統計</h5>	daily_report.index.l121	P2
日報	views/daily_report/index.php:126	<p class="text-muted">過去30日間の日報数</p>	daily_report.index.l126	P2
日報	views/daily_report/index.php:131	<small class="text-muted">いいね数</small>	daily_report.index.l131	P2
日報	views/daily_report/index.php:135	<small class="text-muted">コメント数</small>	daily_report.index.l135	P2
日報	views/daily_report/index.php:140	<a href="<?= BASE_PATH ?>/daily-report/stats" class="btn btn-sm btn-outline-primary">詳細な統計を見る</a>	daily_report.index.l140	P2
日報	views/daily_report/index.php:148	<h5 class="mb-0">タグクラウド</h5>	daily_report.index.l148	P2
日報	views/daily_report/index.php:152	<p class="text-center">タグがありません</p>	daily_report.index.l152	P2
日報	views/daily_report/index.php:175	<h5 class="mb-0">未読の日報</h5>	daily_report.index.l175	P2
日報	views/daily_report/index.php:182	<th>作成者</th>	daily_report.index.l182	P2
日付/カレンダー	views/daily_report/index.php:183	<th>日付</th>	date_calendar.index.l183	P1
日報	views/daily_report/index.php:184	<th>タイトル</th>	daily_report.index.l184	P2
日報	views/daily_report/index.php:185	<th>作成日時</th>	daily_report.index.l185	P2
日報	views/daily_report/index.php:186	<th>操作</th>	daily_report.index.l186	P2
日報	views/daily_report/index.php:192	<td colspan="5" class="text-center">未読の日報はありません</td>	daily_report.index.l192	P2
日報	views/daily_report/index.php:202	<a href="<?= BASE_PATH ?>/daily-report/view/<?= $report['id'] ?>" class="btn btn-sm btn-primary">詳細</a>	daily_report.index.l202	P2
日報	views/daily_report/index.php:212	<a href="<?= BASE_PATH ?>/daily-report/list" class="btn btn-sm btn-secondary">すべての日報を見る</a>	daily_report.index.l212	P2
日報	views/daily_report/index.php:227	<h5 class="modal-title" id="templateModalLabel">テンプレートを選択</h5>	daily_report.index.l227	P2
日報	views/daily_report/index.php:233	<p class="text-center">テンプレートがありません</p>	daily_report.index.l233	P2
日報	views/daily_report/index.php:239	<small><?= $template['is_public'] ? '公開' : '個人用' ?></small>	daily_report.index.l239	P2
日報	views/daily_report/index.php:253	<button type="button" class="btn btn-secondary" data-bs-dismiss="modal">閉じる</button>	daily_report.index.l253	P2
日報	views/daily_report/index.php:254	<a href="<?= BASE_PATH ?>/daily-report/templates" class="btn btn-primary">テンプレート管理</a>	daily_report.index.l254	P2
日報	views/daily_report/index.php:284	templateBtn.innerHTML = '<i class="fas fa-file-alt me-2"></i>テンプレートから作成';	daily_report.index.l284	P2
通知	views/setting/notification.php:7	<p class="text-muted"><?= $isJaLocale ? 'システム通知の設定を行います。' : 'Configure in-app and mail notification behavior.' ?></p>	notifications.notification.l7	P1
通知	views/setting/notification.php:35	設定を保存しました。	notifications.notification.l35	P1
通知	views/setting/notification.php:42	<label class="form-check-label" for="notification_enabled">通知機能を有効にする</label>	notifications.notification.l42	P1
通知	views/setting/notification.php:43	<div class="form-text">チェックを外すと、すべての通知が無効になります。</div>	notifications.notification.l43	P1
通知	views/setting/notification.php:47	<h5>通知タイプ</h5>	notifications.notification.l47	P1
バリデーション	views/setting/notification.php:48	<p class="text-muted">有効にする通知タイプを選択してください。</p>	validation.notification.l48	P1
通知	views/setting/notification.php:53	<label class="form-check-label" for="schedule_notification">スケジュール通知</label>	notifications.notification.l53	P1
通知	views/setting/notification.php:54	<div class="form-text">スケジュールの作成・更新・削除時の通知を有効にします。</div>	notifications.notification.l54	P1
通知	views/setting/notification.php:60	<label class="form-check-label" for="workflow_notification">ワークフロー通知</label>	notifications.notification.l60	P1
通知	views/setting/notification.php:61	<div class="form-text">ワークフローの進行・承認・却下時の通知を有効にします。</div>	notifications.notification.l61	P1
通知	views/setting/notification.php:67	<label class="form-check-label" for="message_notification">メッセージ通知</label>	notifications.notification.l67	P1
通知	views/setting/notification.php:68	<div class="form-text">新着メッセージの通知を有効にします。</div>	notifications.notification.l68	P1
通知	views/setting/notification.php:72	<h5>メール通知設定</h5>	notifications.notification.l72	P1
通知	views/setting/notification.php:73	<p class="text-muted">システム通知と連動してメールを送信する設定です。</p>	notifications.notification.l73	P1
通知	views/setting/notification.php:78	<label class="form-check-label" for="email_notification">メール通知を有効にする</label>	notifications.notification.l78	P1
通知	views/setting/notification.php:79	<div class="form-text">チェックを外すと、メールによる通知が無効になります。</div>	notifications.notification.l79	P1
通知	views/setting/notification.php:83	<button type="submit" class="btn btn-primary">設定を保存</button>	notifications.notification.l83	P1
通知	views/setting/notification.php:92	<h5 class="card-title mb-0">メール通知スケジュール</h5>	notifications.notification.l92	P1
通知	views/setting/notification.php:95	<p>メール通知の送信処理は、以下のコマンドをcronに登録して定期的に実行する必要があります。</p>	notifications.notification.l95	P1
通知	views/setting/notification.php:101	<p>このコマンドは1分ごとに実行され、未送信のメール通知を処理します。</p>	notifications.notification.l101	P1
通知	views/setting/notification.php:104	<button type="button" class="btn btn-outline-primary" id="processCronManually">手動でメール送信処理を実行</button>	notifications.notification.l104	P1
スケジュール	views/schedule/_toolbar.php:39	<i class="fas fa-user"></i> 個人	schedule._toolbar.l39	P1
スケジュール	views/schedule/_toolbar.php:43	<i class="fas fa-users"></i> 組織	schedule._toolbar.l43	P1
スケジュール	views/schedule/_toolbar.php:49	<a href="<?php echo $dayUrl; ?>" class="btn btn-sm <?php echo $scheduleView === 'day' ? 'btn-secondary' : 'btn-outline-secondary'; ?>">日</a>	schedule._toolbar.l49	P1
スケジュール	views/schedule/_toolbar.php:50	<a href="<?php echo $weekUrl; ?>" class="btn btn-sm <?php echo $scheduleView === 'week' ? 'btn-secondary' : 'btn-outline-secondary'; ?>">週</a>	schedule._toolbar.l50	P1
スケジュール	views/schedule/_toolbar.php:51	<a href="<?php echo $monthUrl; ?>" class="btn btn-sm <?php echo $scheduleView === 'month' ? 'btn-secondary' : 'btn-outline-secondary'; ?>">月</a>	schedule._toolbar.l51	P1
スケジュール	views/schedule/_toolbar.php:58	<button type="button" class="btn btn-sm btn-outline-secondary btn-today">今日</button>	schedule._toolbar.l58	P1
スケジュール	views/schedule/_toolbar.php:62	<button type="button" class="btn btn-sm btn-outline-secondary btn-this-week">今週</button>	schedule._toolbar.l62	P1
スケジュール	views/schedule/_toolbar.php:66	<button type="button" class="btn btn-sm btn-outline-secondary btn-this-month">今月</button>	schedule._toolbar.l66	P1
スケジュール	views/schedule/_toolbar.php:73	<i class="fas fa-plus"></i> <span class="d-none d-md-inline">新規作成</span>	schedule._toolbar.l73	P1
日報	views/daily_report/analysis.php:21	<h3 class="mb-0">日報分析・予実管理</h3>	daily_report.analysis.l21	P2
日報	views/daily_report/analysis.php:23	<a href="<?= BASE_PATH ?>/daily-report" class="btn btn-outline-secondary btn-sm">ダッシュボード</a>	daily_report.analysis.l23	P2
日報	views/daily_report/analysis.php:24	<a href="<?= BASE_PATH ?>/daily-report/list" class="btn btn-outline-secondary btn-sm">一覧</a>	daily_report.analysis.l24	P2
日報	views/daily_report/analysis.php:26	<i class="fas fa-file-csv me-1"></i>CSV出力	daily_report.analysis.l26	P2
日報	views/daily_report/analysis.php:32	<div class="card-header"><strong>分析フィルタ</strong></div>	daily_report.analysis.l32	P2
日報	views/daily_report/analysis.php:37	<label class="form-label">ユーザー</label>	daily_report.analysis.l37	P2
日報	views/daily_report/analysis.php:48	<label class="form-label">開始日</label>	daily_report.analysis.l48	P2
日報	views/daily_report/analysis.php:52	<label class="form-label">終了日</label>	daily_report.analysis.l52	P2
日報	views/daily_report/analysis.php:56	<label class="form-label">案件</label>	daily_report.analysis.l56	P2
日報	views/daily_report/analysis.php:58	<option value="">すべて</option>	daily_report.analysis.l58	P2
日報	views/daily_report/analysis.php:67	<label class="form-label">業種</label>	daily_report.analysis.l67	P2
日報	views/daily_report/analysis.php:69	<option value="">すべて</option>	daily_report.analysis.l69	P2
日報	views/daily_report/analysis.php:78	<label class="form-label">商品</label>	daily_report.analysis.l78	P2
日報	views/daily_report/analysis.php:80	<option value="">すべて</option>	daily_report.analysis.l80	P2
日報	views/daily_report/analysis.php:89	<label class="form-label">プロセス</label>	daily_report.analysis.l89	P2
日報	views/daily_report/analysis.php:91	<option value="">すべて</option>	daily_report.analysis.l91	P2
日報	views/daily_report/analysis.php:100	<button type="submit" class="btn btn-primary">適用</button>	daily_report.analysis.l100	P2
日報	views/daily_report/analysis.php:110	<div class="text-muted small">計画金額</div>	daily_report.analysis.l110	P2
日報	views/daily_report/analysis.php:118	<div class="text-muted small">実績金額</div>	daily_report.analysis.l118	P2
日報	views/daily_report/analysis.php:126	<div class="text-muted small">計画時間 / 実績時間</div>	daily_report.analysis.l126	P2
日報	views/daily_report/analysis.php:134	<div class="text-muted small">分析対象日報数</div>	daily_report.analysis.l134	P2
日報	views/daily_report/analysis.php:142	<div class="card-header"><strong>月次推移</strong></div>	daily_report.analysis.l142	P2
日報	views/daily_report/analysis.php:151	'案件別集計' => $projectBreakdown ?? [],	daily_report.analysis.l151	P2
日報	views/daily_report/analysis.php:152	'業種別集計' => $industryBreakdown ?? [],	daily_report.analysis.l152	P2
日報	views/daily_report/analysis.php:153	'商品別集計' => $productBreakdown ?? [],	daily_report.analysis.l153	P2
日報	views/daily_report/analysis.php:154	'プロセス別集計' => $processBreakdown ?? []	daily_report.analysis.l154	P2
日報	views/daily_report/analysis.php:166	<th>軸</th>	daily_report.analysis.l166	P2
日報	views/daily_report/analysis.php:167	<th class="text-end">計画</th>	daily_report.analysis.l167	P2
日報	views/daily_report/analysis.php:168	<th class="text-end">実績</th>	daily_report.analysis.l168	P2
日報	views/daily_report/analysis.php:173	<tr><td colspan="3" class="text-center text-muted">データなし</td></tr>	daily_report.analysis.l173	P2
日報	views/daily_report/analysis.php:193	<div class="card-header"><strong>月目標（予実管理）</strong></div>	daily_report.analysis.l193	P2
日報	views/daily_report/analysis.php:198	<label class="form-label">対象月</label>	daily_report.analysis.l198	P2
